user,,ft_pers_email,ft_minute,ft_date,ft_weekend,ft_no_attach,ft_attach_size,ft_text_size,ft_interact_score,ft_number_recipients,ft_mean_tfidf,ft_top_tfidf,ft_no_diff_words,ft_vocal_variety,ft_word_lengths,ft_ng_mean_tfidf
AAM0972,1554,0,1000,164,0,0,0,37248,0.013803680981595092,3,0.14726985024089562,0.16096244473277646,44,0.9565217391304348,6.068181818181818,0.1490711984999859
AAM0972,14218,0,746,39,0,0,0,27577,0.012269938650306747,6,0.16206205403138318,0.17535539092275773,36,0.972972972972973,6.277777777777778,0.16666666666666674
AAM0972,24800,0,499,385,0,0,0,41509,0.013803680981595092,4,0.14268513107962913,0.158040478342346,47,0.9791666666666666,5.8936170212765955,0.14586499149789459
AAM0972,29512,0,690,343,0,0,0,15293,0.01656441717791411,7,0.13958442225046855,0.15453061476550436,49,0.98,6.142857142857143,0.14285714285714282
AAM0972,36498,1,881,309,0,0,0,28066,0.0015337423312883436,3,0.11968406787104714,0.13462699687605115,67,0.9710144927536232,5.313432835820896,0.12126781251816642
AAM0972,44617,0,596,497,0,0,0,27177,0.009202453987730062,3,0.1516012734561638,0.16874870243470014,42,0.9767441860465116,6.4523809523809526,0.15430334996209188
AAM0972,45768,0,621,347,0,0,0,28379,0.013803680981595092,3,0.13781062872136515,0.15192741778257213,52,1.0,6.384615384615385,0.14002043450680043
AAM0972,53028,1,618,44,0,0,0,26549,0.049079754601226995,3,0.14333664397063717,0.16066936346662838,46,0.9387755102040817,6.065217391304348,0.14586499149789459
AAM0972,66382,1,520,466,0,0,0,31469,0.023006134969325152,3,0.16457536719175286,0.17982066283681464,35,0.9722222222222222,6.057142857142857,0.16903085094570336
AAM0972,71745,0,504,164,0,0,0,27509,0.015337423312883436,3,0.1620249728815177,0.18000027338021699,37,0.9736842105263158,6.243243243243243,0.16439898730535737
AAM0972,75478,1,786,295,0,0,0,25654,0.01687116564417178,3,0.13869341557618167,0.1706045638831828,51,0.9622641509433962,5.450980392156863,0.14142135623730945
AAM0972,97429,1,956,305,0,0,0,19925,0.019938650306748466,3,0.1257710174732064,0.14468434756205867,61,0.953125,5.262295081967213,0.12700012700019042
AAM0972,98117,1,634,249,0,0,0,31903,0.02837423312883436,4,0.13694408951130052,0.1465843173258582,51,0.9444444444444444,6.352941176470588,0.13867504905630726
AAM0972,129438,1,463,307,0,0,0,31647,0.026073619631901843,5,0.15678313767155447,0.17655897254472086,39,0.9512195121951219,6.589743589743589,0.16012815380508716
AAM0972,137242,0,1009,154,0,0,0,25537,0.004601226993865031,4,0.13151784490651827,0.1476278244271295,57,1.0,6.5964912280701755,0.13363062095621214
AAM0972,147264,0,1010,479,0,0,0,28313,0.013803680981595092,3,0.16279482989786156,0.2702209219601578,31,0.7560975609756098,7.32258064516129,0.15299249987675195
AAM0972,149590,0,885,28,0,0,0,42876,0.013803680981595092,3,0.16038487657963246,0.18867020424089478,38,0.9743589743589743,6.105263157894737,0.1622214211307626
AAM0972,162097,0,856,318,0,0,0,20834,0.007285276073619632,5,0.12945489477444902,0.14176937628650085,59,1.0,6.11864406779661,0.13130643285972254
AAM0972,164695,1,977,126,0,0,0,14936,0.0352760736196319,3,0.13735127264076555,0.1574913173989654,49,0.9423076923076923,5.857142857142857,0.14142135623730945
AAM0972,168041,1,713,287,0,0,0,23153,0.024539877300613498,4,0.14609697619530795,0.16087408042132775,45,0.9782608695652174,6.311111111111111,0.1490711984999859
AAM0972,168248,0,986,303,0,0,0,15957,0.015337423312883436,3,0.1502093628768339,0.16297186578167522,42,0.9545454545454546,6.071428571428571,0.15248881854489763
AAM0972,174726,1,938,274,0,0,0,41017,0.03374233128834356,4,0.12507935206569162,0.14443581672384023,61,0.953125,5.786885245901639,0.12700012700019042
AAM0972,192523,0,820,484,0,0,0,51941,0.013803680981595092,3,0.1680398644354876,0.2320266956447194,26,0.5909090909090909,8.038461538461538,0.1500500571999624
AAM0972,195614,0,875,28,0,0,0,30086,0.02607361963190184,3,0.15128945684224052,0.17374207723889742,43,0.9555555555555556,6.5813953488372094,0.15430334996209188
AAM0972,214459,1,680,233,0,0,0,29261,0.027607361963190184,4,0.1424137067167671,0.1596706181210737,48,0.9795918367346939,6.375,0.1443375672974064
AAM0972,222145,1,745,429,0,0,0,29814,0.011247443762781187,4,0.17045396484252387,0.1959573731974673,34,1.0,6.294117647058823,0.17407765595569788
AAM0972,261611,1,832,224,0,0,0,28110,0.02556237218813906,5,0.16082149401756904,0.19027176576233415,38,1.0,5.973684210526316,0.16438681021529566
AAM0972,291931,1,606,18,0,0,0,43184,0.003067484662576687,3,0.16945413418097396,0.18551420219135373,33,0.9428571428571428,6.151515151515151,0.17407765595569788
AAM0972,293956,0,1002,374,0,0,0,22815,0.013803680981595092,4,0.13819032195727682,0.15101696465813924,51,0.9807692307692307,6.627450980392157,0.14002800840280094
