user,count,mean,std,min,25%,50%,75%,max
AAA1182,60.0,-0.4514255087853776,0.04191924054996073,-0.5848468667138244,-0.47848434019570446,-0.44060735175165894,-0.4241110503144827,-0.3928172007766954
AAB1302,44.0,-0.4411391708100588,0.05531783734202664,-0.5879632709650372,-0.47544816355706676,-0.4239041461568619,-0.4004665055070293,-0.36944397138288027
AAB1762,57.0,-0.4611525250330349,0.045728821271502046,-0.5668732968925315,-0.48309564782837744,-0.4489737181788533,-0.42342529027536124,-0.39792424071378085
AAB3987,7.0,-0.4404938658737786,0.004457090438333237,-0.4455866163209824,-0.4437983323275226,-0.43993224464071334,-0.4387850098154954,-0.4327715158687184
AAC0131,101.0,-0.43983411009088225,0.039631779965565495,-0.5628628210015297,-0.4605317292639794,-0.4290149169448298,-0.4121051933576763,-0.37776457517837636
AAC0599,56.0,-0.46669483050104926,0.0335939365654044,-0.5391425227471459,-0.48645239927782913,-0.4634715315373129,-0.4406934676374011,-0.4039807793532645
AAC0904,268.0,-0.44151076633576775,0.046530482017243635,-0.6366604050270478,-0.4586256888247356,-0.43036795382246956,-0.4098334655650183,-0.37304162571235383
AAC1033,9.0,-0.43375789605857057,0.013090691563849137,-0.4517073507346764,-0.44139959292814196,-0.4324301899872377,-0.42628811050352766,-0.41070653722454437
AAC1489,255.0,-0.45400405067114946,0.043284307561509194,-0.6363279959758226,-0.4713095532059294,-0.4449560159355505,-0.42668953894580985,-0.3857840852111383
AAC1881,48.0,-0.45381674004118505,0.03644483806004558,-0.5355882796187472,-0.4842268483831752,-0.45220067052822555,-0.4213710717230049,-0.40089164844741193
AAE0190,239.0,-0.4558606438083577,0.03488844462106572,-0.566247619035101,-0.47812742305590933,-0.4539124876287163,-0.4321454398387117,-0.3867843510187534
AAF0721,59.0,-0.44952025615315877,0.04169931466385805,-0.561120870725511,-0.4780769768228647,-0.4412783117561292,-0.415527268451367,-0.384750930215923
AAF0791,121.0,-0.4480415019794001,0.041533070152727926,-0.6025698971428926,-0.46709989651732525,-0.4374957896414721,-0.4176092316136122,-0.391277214036018
AAF2163,10.0,-0.4418810770985185,0.011085826206298768,-0.45957738892109595,-0.4495658275922655,-0.44077500530990443,-0.43223022048851734,-0.42810988905893776
AAF3921,5.0,-0.38018799036579726,0.014897124717710514,-0.4018231590845821,-0.3845343303617234,-0.38215808530696,-0.36797269344056477,-0.36445168363515607
AAF3936,8.0,-0.43744681723231926,0.01546408541422353,-0.4608224195368613,-0.44434794359534113,-0.4411215168879463,-0.426297054083044,-0.4132971540219183
AAG1136,159.0,-0.4406449868337235,0.048266439202320016,-0.6120280127503263,-0.4624457763809097,-0.43011615763351835,-0.4061016482184844,-0.3711771861250536
AAH0118,82.0,-0.44465932671861513,0.039380145258232205,-0.5732822396683313,-0.4731305569389226,-0.44538153014200166,-0.40954059518302155,-0.38619996313818966
AAH0393,20.0,-0.43938693415498564,0.0281641414350554,-0.4792937542493854,-0.4633892769620732,-0.4398617466513596,-0.4215940652971417,-0.38649154311613404
AAH0792,60.0,-0.45124474312511503,0.03666474987945516,-0.6128070292046383,-0.4733354523414217,-0.44863935578041514,-0.42644925127963096,-0.38884883533441716
AAH3397,15.0,-0.4759393262125735,0.02351911739420522,-0.5119424049136724,-0.4952885851811492,-0.47701511684185993,-0.46002910784467005,-0.4358218563031838
AAJ0723,60.0,-0.4659683570039431,0.03215177382010442,-0.5405152909316684,-0.48574888835273755,-0.4677132002346883,-0.44017231431652876,-0.3948002482441042
AAL0706,14.0,-0.46298905840675364,0.0240792022718851,-0.5047113361880813,-0.47795396729023093,-0.4700460632327526,-0.44043419823611213,-0.4302773069818598
AAL1327,54.0,-0.4516105546440613,0.037773097710305806,-0.5455231701496042,-0.4712951161769342,-0.44687181100392503,-0.4288439264977994,-0.38117895779306027
AAM0469,38.0,-0.4396048515438951,0.03875537214022468,-0.5388918414217858,-0.45614442980518977,-0.449652049291557,-0.4036803973660077,-0.36751289493985895
AAM0559,66.0,-0.447173416930537,0.04096130019339383,-0.5742284196548767,-0.4714730714868383,-0.43768163956340606,-0.42014210791739326,-0.37966967546541536
AAM0972,164.0,-0.44323678356210044,0.04432715452370082,-0.6583521170004193,-0.4607878165139432,-0.43692371875348646,-0.41711703690055274,-0.3745439074770488
AAM0982,21.0,-0.44776767073669876,0.04349002978489062,-0.5231618545137765,-0.4840282200623089,-0.4351411573866645,-0.4115864003775222,-0.39217362681194146
AAM1951,52.0,-0.4500004413671879,0.03664990384172352,-0.5556257002088124,-0.47563624508206404,-0.4427940492474455,-0.4265000207222087,-0.3839729119136613
AAN0700,17.0,-0.4439518069600211,0.03904081155844683,-0.5110378667346577,-0.4629180991810861,-0.43144185652910105,-0.415214105618922,-0.38039294939103657
AAN0823,11.0,-0.44867537080600073,0.026255901408762473,-0.48232891941976397,-0.4709367585616193,-0.44891504143687383,-0.43228880738494313,-0.40843022135988394
AAO1119,51.0,-0.45894800380915174,0.03962967153159496,-0.602041385827535,-0.47907469680361764,-0.45544057464213256,-0.4283250231296717,-0.40582718939400014
AAO1919,20.0,-0.44880775001623174,0.041954563470383885,-0.5190969349919171,-0.4762034338318967,-0.44580295559635175,-0.41617719373286605,-0.3896846395470943
AAP3230,57.0,-0.4616894434500882,0.03533748087596097,-0.5619010626910832,-0.47899710655370575,-0.45791059626234115,-0.43580551564815484,-0.4054000709435217
AAR1793,12.0,-0.45463897630815947,0.018626857987778064,-0.4883455854190371,-0.4614991634908471,-0.4501264427152183,-0.4407867034022389,-0.4345018814208619
AAS0442,5.0,-0.37847912249718363,0.01073880453257385,-0.39488711963891515,-0.38347447177408284,-0.37392809566983815,-0.37153613894990123,-0.3685697864531807
AAS1285,59.0,-0.455029811336466,0.0387894586749988,-0.5811377013627168,-0.4692234208371808,-0.448096177211494,-0.4253112919627302,-0.40282887931847633
AAS3663,5.0,-0.36954033654007823,0.01429622815878846,-0.38595203318596943,-0.3831305166752896,-0.36287482779087693,-0.36270794263653156,-0.35303636241172376
AAV0450,16.0,-0.46874050830754405,0.03236516331408668,-0.5297602416450731,-0.4918791304220912,-0.47083797180613807,-0.4437896375165782,-0.42136467438257874
AAW0353,48.0,-0.46602667047418045,0.03604777747512258,-0.5485249741410371,-0.490995775372542,-0.46034584371547405,-0.4415377728780551,-0.40482420443785166
AAW0914,217.0,-0.44899045208768135,0.04567340720893951,-0.6499092249212682,-0.46786425566660556,-0.44061631990055744,-0.4185768771765173,-0.3818670609260967
AAW0952,154.0,-0.4581863622632923,0.04254579779096018,-0.5844921351323187,-0.4884190119988363,-0.4518059816074561,-0.4255898669787346,-0.37856134194788454
AAW0969,160.0,-0.4338898737726728,0.044331723522574924,-0.6540874754026939,-0.450967219465111,-0.42538763927477385,-0.40115981429333814,-0.3731050193568936
AAZ2121,55.0,-0.46021073801801304,0.04310252954336565,-0.5779356040127093,-0.4799032050089206,-0.45384242592525975,-0.428677563154338,-0.40483116908439165
ABB0019,189.0,-0.44106620500057875,0.0502600356655417,-0.6037170818214898,-0.46226478194507414,-0.4305928270849911,-0.4049659699820333,-0.36935160224773517
ABB2220,4.0,-0.4070366206428367,0.002905391391334264,-0.4098787722299757,-0.40934609762805296,-0.4070622575549667,-0.4047527805697504,-0.4041431952314376
ABC0253,129.0,-0.45431251102889214,0.03397494445332939,-0.5575411861984937,-0.4754784111055964,-0.44994300462418635,-0.4308683677755231,-0.3922013171407436
ABC1802,41.0,-0.4609306995100716,0.030552378941871874,-0.5475723437385004,-0.47583000631719946,-0.4593869995345443,-0.44547324462046134,-0.4011006213682335
ABC1881,171.0,-0.4302876943439987,0.05126143072017254,-0.5846112791308606,-0.45335563874266155,-0.41478382151042187,-0.39120515434652225,-0.36608382621029556
ABD3506,12.0,-0.45484373457023136,0.02398626909035423,-0.49346924244059104,-0.4743223859840658,-0.4584115467967168,-0.4323556915405201,-0.4200880768056202
ABG0761,52.0,-0.4421898295751486,0.04576652477316258,-0.5934725208852025,-0.4611766558448265,-0.43414300403624073,-0.41270585051367237,-0.3706379995981467
ABH0663,47.0,-0.45676422981958464,0.04143198238556755,-0.624132010792155,-0.479141840981546,-0.4546978644941037,-0.43253324115410585,-0.3882615925281746
ABH1829,43.0,-0.45614414537966175,0.03599929161577827,-0.5471937379896997,-0.4785818441037786,-0.45414262715667675,-0.42852494853114875,-0.39848529220030515
ABJ1155,62.0,-0.4505493457221755,0.03763232442824833,-0.6195093435839732,-0.4674441672446163,-0.44569869887645897,-0.4248677126487875,-0.3870579707849913
ABL1229,165.0,-0.4525797004012087,0.0351628977830092,-0.6477804916258879,-0.4715312548061633,-0.44926844325013954,-0.43064502589186276,-0.3814988752383258
ABM0845,18.0,-0.44969530312376005,0.022556244701634528,-0.4948015184211833,-0.4623810200787144,-0.45002176709806835,-0.43373393199283344,-0.4188582144375083
ABM0890,234.0,-0.43902787407553534,0.047115005069744136,-0.6204507354457515,-0.45382690934382885,-0.42892938662786506,-0.40517563318541255,-0.3766239564813806
ABM1021,85.0,-0.44460912053210955,0.04412014318370622,-0.6194412545801194,-0.46903364350720633,-0.4392319180115002,-0.4116362746832414,-0.3772992001733064
ABM1851,64.0,-0.45110806299567796,0.03813269038024601,-0.5518094817996939,-0.47965305397111757,-0.44052578625664945,-0.4297499576228724,-0.38445522598248394
ABM3748,4.0,-0.4039677671632268,0.0016850969143319587,-0.40600503312528885,-0.40486728731878835,-0.403910042407598,-0.4030105222520365,-0.40204595071242244
ABN0239,142.0,-0.44693728812667644,0.045150316455319695,-0.642949484806126,-0.4652396379341515,-0.43853091650700415,-0.41346991930782423,-0.38222288245508196
ABP1681,20.0,-0.45206786340384203,0.02995277841155386,-0.5016075183888172,-0.46586155014262315,-0.4578252328345233,-0.4362709167790504,-0.3943382224857618
ABR0482,13.0,-0.4556265421596732,0.024984835191478358,-0.49942375280252754,-0.4804952981069941,-0.45016283075982666,-0.43239163931137414,-0.42022395930405576
ABR3486,54.0,-0.45206694504324446,0.03218832678509328,-0.5301186542190469,-0.4719568967671217,-0.44591300617639057,-0.42814686220012593,-0.38503460310762727
ABV1812,62.0,-0.4531390259492475,0.03478604413427595,-0.5566410162627025,-0.4792565819146178,-0.4479947506998353,-0.4269200656561128,-0.39353510768727273
ABW0686,44.0,-0.45320556053098005,0.038554477338669346,-0.5454950455073524,-0.4805609664000028,-0.44821843813464085,-0.42882504279147315,-0.3847772441317827
ABW1277,66.0,-0.4505064598400276,0.03721368787915204,-0.5569761919020492,-0.4745283615261852,-0.44450282604583374,-0.4211369777937393,-0.39218919871844626
ACA1126,2001.0,-0.4400411034347378,0.04661740295841281,-0.6299998349021381,-0.4595370418372816,-0.42925623042246275,-0.4072578528103229,-0.3640136393228291
ACA2637,50.0,-0.436951439191219,0.04132106005158257,-0.5560338907193391,-0.4593177227478553,-0.4280151966440415,-0.4060000855106233,-0.37051860426606337
ACA3690,6.0,-0.4176227830713164,0.009825660937052528,-0.42998386173722797,-0.42562358198359845,-0.4157792773979745,-0.41157626275932946,-0.4051140071694668
ACB0220,182.0,-0.4327668599266207,0.04756688263118199,-0.6442701588920642,-0.45401056321827027,-0.421288832363214,-0.39955782196123996,-0.3699590751466856
ACB1087,259.0,-0.44258310783917937,0.04818588600234163,-0.6485531064750709,-0.45794724139243165,-0.42982753292382325,-0.41037872278703325,-0.37105387653365635
ACB1485,9.0,-0.4342261483218042,0.01670525101240826,-0.46274937216354234,-0.4368603775199545,-0.4310193286371669,-0.42233983583260143,-0.41525613077084367
ACC0042,190.0,-0.4392537930993229,0.04570391725536851,-0.6262061879726505,-0.4628593446757832,-0.42722028803449663,-0.4096002458648121,-0.3752985253075288
ACC0950,208.0,-0.45582499738456705,0.03709330046246067,-0.6270046326022168,-0.4761718493000448,-0.45109972480008964,-0.43167581920123266,-0.38234515938586777
ACC1855,54.0,-0.4440282370820101,0.04670914590447728,-0.6192732819042052,-0.46706685166444584,-0.4349449230747826,-0.4125067656257462,-0.3757554976743345
ACC3205,50.0,-0.4527105589182764,0.04267744234720466,-0.5639874126601789,-0.47416063652480667,-0.4367376538403144,-0.4228072937939158,-0.40050400256020946
ACD1174,151.0,-0.44212967376520135,0.042635668173477,-0.5611763623314691,-0.4670517377658434,-0.4349692710393754,-0.40903068023374944,-0.3751357410488636
ACD3420,103.0,-0.4417074610077108,0.046414376444058845,-0.6115864964589266,-0.46585000782158836,-0.43504338999414127,-0.4064807499618365,-0.37384279905863455
ACE1431,42.0,-0.43724991148442677,0.03592992602321609,-0.5069761240371926,-0.4641150723862482,-0.4337854210190728,-0.40918248775466526,-0.3767535715790382
ACF1356,47.0,-0.4622961950444689,0.03306938163463107,-0.5565477532354999,-0.4878162316179341,-0.4565014926042531,-0.4366850424591779,-0.4022266952167535
ACG0007,143.0,-0.4477252780241201,0.03728166896622994,-0.580769939896439,-0.4688040748979565,-0.4452495868164574,-0.4213798606036069,-0.3830128380793131
ACG0152,22.0,-0.4553122675737727,0.025574269676167015,-0.4920453353210435,-0.4710246300471162,-0.45989815803214174,-0.44345274780709,-0.40839698766994836
ACG0234,48.0,-0.45656542700855773,0.036022567236055944,-0.5551100430071465,-0.47108155077741565,-0.45280099817126473,-0.4364299491399764,-0.39271495538342266
ACG3477,91.0,-0.45295477562232855,0.041937354745195415,-0.5862059884201245,-0.4752414143118303,-0.4446441455239308,-0.421061918556655,-0.3887799308034336
ACH0937,132.0,-0.4473811640069601,0.040608942682360274,-0.5857346111812513,-0.47117760815317994,-0.4422642095649897,-0.42044935549542983,-0.383062690679849
ACH1011,150.0,-0.4346069022717564,0.05214748423307862,-0.6609322924215562,-0.4595768772625609,-0.4212919436763267,-0.3948542997122153,-0.35957760510831993
ACH1831,236.0,-0.46447174134738917,0.03344227754242771,-0.5701587349525962,-0.4811001417147867,-0.46285223550757537,-0.4396112500743554,-0.39780436954013354
ACH1840,242.0,-0.4368761838090446,0.05117955702375202,-0.64614968796203,-0.46459954400014986,-0.4202678586944033,-0.3977487626083368,-0.36748418926189974
ACH3250,59.0,-0.4663281770388497,0.03349646973825976,-0.5763783688946328,-0.48317398771418874,-0.46883779514491947,-0.44164221446139895,-0.40515416048683756
